"Episode","Output","OutputMB","Source","SourceMB","SizeRatio","OutDuration_s","SrcDuration_s","AudioInfo","Notes"
"01","[wham] Hikaru ga Shinda Natsu - 01 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-nojp-aac-stereo.mkv","516.93","[wham] Hikaru ga Shinda Natsu - 01 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio).mkv","744.36","0.69","1371.22","1371.22","aac,2,eng",""
"01","[wham] Hikaru ga Shinda Natsu - 01 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","517.2","[wham] Hikaru ga Shinda Natsu - 01 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio).mkv","744.36","0.69","1371.21","1371.22","aac,2,eng",""
"02","[wham] Hikaru ga Shinda Natsu - 02 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-nojp-aac-stereo.mkv","64.13","[wham] Hikaru ga Shinda Natsu - 02 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio).mkv","1093.47","0.06","70.41","1371.05","aac,2,eng","duration_mismatch; output_much_smaller"
"02","[wham] Hikaru ga Shinda Natsu - 02 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","866.8","[wham] Hikaru ga Shinda Natsu - 02 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio).mkv","1093.47","0.79","1371.05","1371.05","aac,2,eng",""
"03","[wham] Hikaru ga Shinda Natsu - 03 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","847.67","[wham] Hikaru ga Shinda Natsu - 03 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio).mkv","1074.69","0.79","1371.05","1371.05","aac,2,eng",""
"04","[wham] Hikaru ga Shinda Natsu - 04 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","650.25","[wham] Hikaru ga Shinda Natsu - 04 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio).mkv","877.53","0.74","1371.21","1371.22","aac,2,eng",""
"05","[wham] Hikaru ga Shinda Natsu - 05 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","802.49","[wham] Hikaru ga Shinda Natsu - 05 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio).mkv","1029.46","0.78","1371.21","1371.22","aac,2,eng",""
"06","[wham] Hikaru ga Shinda Natsu - 06 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","590.87","[wham] Hikaru ga Shinda Natsu - 06 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio).mkv","817.5","0.72","1371.21","1371.22","aac,2,eng",""
"07","[wham] Hikaru ga Shinda Natsu - 07 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","91.61","[wham] Hikaru ga Shinda Natsu - 07 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio).mkv","960.06","0.1","127.38","1371.05","aac,2,eng","duration_mismatch"
"08","[wham] Hikaru ga Shinda Natsu - 08 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","193.26","[wham] Hikaru ga Shinda Natsu - 08 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio).mkv","1029.15","0.19","323.79","1371.22","aac,2,eng","duration_mismatch"
"09","[wham] Hikaru ga Shinda Natsu - 09 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","545.28","[wham] Hikaru ga Shinda Natsu - 09 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio).mkv","1133.94","0.48","639.53","1371.05","aac,2,eng","duration_mismatch"
"10","[wham] Hikaru ga Shinda Natsu - 10 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","952.46","[wham] Hikaru ga Shinda Natsu - 10 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio).mkv","1179.76","0.81","1371.21","1371.22","aac,2,eng",""
"11","[wham] Hikaru ga Shinda Natsu - 11 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","746","[wham] Hikaru ga Shinda Natsu - 11 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio).mkv","1022.89","0.73","1371.04","1371.05","aac,2,eng",""
"12","[wham] Hikaru ga Shinda Natsu - 12 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","868.08","[wham] Hikaru ga Shinda Natsu - 12 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio).mkv","1094.41","0.79","1371.05","1371.05","aac,2,eng",""
